Channel,Energy,Counts
       1,      -3.9162,          0
       2,      -3.6975,          1
       3,      -3.4788,          0
       4,      -3.2600,          0
       5,      -3.0413,          2
       6,      -2.8226,          1
       7,      -2.6039,         30
       8,      -2.3852,         38
       9,      -2.1665,         40
      10,      -1.9477,         49
      11,      -1.7290,         38
      12,      -1.5103,         23
      13,      -1.2916,         27
      14,      -1.0729,         21
      15,      -0.8542,         19
      16,      -0.6355,         15
      17,      -0.4167,         12
      18,      -0.1980,         13
      19,       0.0207,         15
      20,       0.2394,         15
      21,       0.4581,         12
      22,       0.6768,          9
      23,       0.8956,         14
      24,       1.1143,         17
      25,       1.3330,         14
      26,       1.5517,         15
      27,       1.7704,         13
      28,       1.9891,         16
      29,       2.2079,         15
      30,       2.4266,         13
      31,       2.6453,         21
      32,       2.8640,         15
      33,       3.0827,         18
      34,       3.3014,         10
      35,       3.5201,         16
      36,       3.7389,         20
      37,       3.9576,         10
      38,       4.1763,         13
      39,       4.3950,         14
      40,       4.6137,         18
      41,       4.8324,         19
      42,       5.0512,         18
      43,       5.2699,         14
      44,       5.4886,         17
      45,       5.7073,         15
      46,       5.9260,         20
      47,       6.1447,         17
      48,       6.3635,         18
      49,       6.5822,         25
      50,       6.8009,         28
      51,       7.0196,         19
      52,       7.2383,         15
      53,       7.4570,          7
      54,       7.6757,         20
      55,       7.8945,         16
      56,       8.1132,         18
      57,       8.3319,         12
      58,       8.5506,         19
      59,       8.7693,         10
      60,       8.9880,         13
      61,       9.2068,         12
      62,       9.4255,          9
      63,       9.6442,         16
      64,       9.8629,         10
      65,      10.0816,         10
      66,      10.3003,         15
      67,      10.5191,         16
      68,      10.7378,         15
      69,      10.9565,         17
      70,      11.1752,         18
      71,      11.3939,         17
      72,      11.6126,         18
      73,      11.8313,         16
      74,      12.0501,          7
      75,      12.2688,         14
      76,      12.4875,         18
      77,      12.7062,          7
      78,      12.9249,         23
      79,      13.1436,         17
      80,      13.3624,         17
      81,      13.5811,         17
      82,      13.7998,         15
      83,      14.0185,         15
      84,      14.2372,         12
      85,      14.4559,         12
      86,      14.6747,         19
      87,      14.8934,         12
      88,      15.1121,         15
      89,      15.3308,         17
      90,      15.5495,         22
      91,      15.7682,         16
      92,      15.9869,         15
      93,      16.2057,         15
      94,      16.4244,         12
      95,      16.6431,         25
      96,      16.8618,         15
      97,      17.0805,         17
      98,      17.2992,          7
      99,      17.5180,         13
     100,      17.7367,         18
     101,      17.9554,         16
     102,      18.1741,         10
     103,      18.3928,         13
     104,      18.6115,         21
     105,      18.8303,         16
     106,      19.0490,         15
     107,      19.2677,         13
     108,      19.4864,         14
     109,      19.7051,         15
     110,      19.9238,         14
     111,      20.1426,         12
     112,      20.3613,         13
     113,      20.5800,         18
     114,      20.7987,         14
     115,      21.0174,         16
     116,      21.2361,         12
     117,      21.4548,         16
     118,      21.6736,         10
     119,      21.8923,         12
     120,      22.1110,         11
     121,      22.3297,         17
     122,      22.5484,         15
     123,      22.7671,         11
     124,      22.9859,         12
     125,      23.2046,         20
     126,      23.4233,         13
     127,      23.6420,         14
     128,      23.8607,         17
     129,      24.0794,         11
     130,      24.2982,         16
     131,      24.5169,          8
     132,      24.7356,         11
     133,      24.9543,         16
     134,      25.1730,         11
     135,      25.3917,         15
     136,      25.6104,         12
     137,      25.8292,         18
     138,      26.0479,         14
     139,      26.2666,         24
     140,      26.4853,         21
     141,      26.7040,          8
     142,      26.9227,         13
     143,      27.1415,         13
     144,      27.3602,         13
     145,      27.5789,         20
     146,      27.7976,         13
     147,      28.0163,         12
     148,      28.2350,         15
     149,      28.4538,         18
     150,      28.6725,         13
     151,      28.8912,          8
     152,      29.1099,         13
     153,      29.3286,         19
     154,      29.5473,         14
     155,      29.7660,         17
     156,      29.9848,         14
     157,      30.2035,         14
     158,      30.4222,          9
     159,      30.6409,         11
     160,      30.8596,         19
     161,      31.0783,         16
     162,      31.2971,         14
     163,      31.5158,         14
     164,      31.7345,         14
     165,      31.9532,         16
     166,      32.1719,         18
     167,      32.3906,         19
     168,      32.6094,         13
     169,      32.8281,          9
     170,      33.0468,         14
     171,      33.2655,         13
     172,      33.4842,         11
     173,      33.7029,         22
     174,      33.9216,         10
     175,      34.1404,         15
     176,      34.3591,          8
     177,      34.5778,         12
     178,      34.7965,         11
     179,      35.0152,         10
     180,      35.2339,         23
     181,      35.4527,          9
     182,      35.6714,         10
     183,      35.8901,         13
     184,      36.1088,          9
     185,      36.3275,         16
     186,      36.5462,         18
     187,      36.7650,         10
     188,      36.9837,         13
     189,      37.2024,         10
     190,      37.4211,          9
     191,      37.6398,          8
     192,      37.8585,         17
     193,      38.0772,          9
     194,      38.2960,          7
     195,      38.5147,         19
     196,      38.7334,         17
     197,      38.9521,         18
     198,      39.1708,         15
     199,      39.3895,         14
     200,      39.6083,         16
     201,      39.8270,          9
     202,      40.0457,          8
     203,      40.2644,          8
     204,      40.4831,         17
     205,      40.7018,         17
     206,      40.9206,         19
     207,      41.1393,          5
     208,      41.3580,         20
     209,      41.5767,         14
     210,      41.7954,         12
     211,      42.0141,         21
     212,      42.2328,         14
     213,      42.4516,         14
     214,      42.6703,         11
     215,      42.8890,         13
     216,      43.1077,         18
     217,      43.3264,         15
     218,      43.5451,         16
     219,      43.7639,         14
     220,      43.9826,         19
     221,      44.2013,         11
     222,      44.4200,         16
     223,      44.6387,         17
     224,      44.8574,         18
     225,      45.0762,         18
     226,      45.2949,         18
     227,      45.5136,         16
     228,      45.7323,         19
     229,      45.9510,         16
     230,      46.1697,         20
     231,      46.3884,         18
     232,      46.6072,         15
     233,      46.8259,         17
     234,      47.0446,         15
     235,      47.2633,         11
     236,      47.4820,         12
     237,      47.7007,         17
     238,      47.9195,         17
     239,      48.1382,         11
     240,      48.3569,         19
     241,      48.5756,         15
     242,      48.7943,         19
     243,      49.0130,         15
     244,      49.2318,         11
     245,      49.4505,         19
     246,      49.6692,         14
     247,      49.8879,         11
     248,      50.1066,         21
     249,      50.3253,         20
     250,      50.5440,         18
     251,      50.7628,         12
     252,      50.9815,         20
     253,      51.2002,          7
     254,      51.4189,         19
     255,      51.6376,         27
     256,      51.8563,         11
     257,      52.0751,         17
     258,      52.2938,         10
     259,      52.5125,         18
     260,      52.7312,         19
     261,      52.9499,         17
     262,      53.1686,         17
     263,      53.3874,         22
     264,      53.6061,         17
     265,      53.8248,          6
     266,      54.0435,         23
     267,      54.2622,         21
     268,      54.4809,         13
     269,      54.6996,         16
     270,      54.9184,         15
     271,      55.1371,         21
     272,      55.3558,         21
     273,      55.5745,         21
     274,      55.7932,         18
     275,      56.0119,         14
     276,      56.2307,         25
     277,      56.4494,         12
     278,      56.6681,         17
     279,      56.8868,         17
     280,      57.1055,         18
     281,      57.3242,         19
     282,      57.5430,         17
     283,      57.7617,         13
     284,      57.9804,         15
     285,      58.1991,         12
     286,      58.4178,         28
     287,      58.6365,         14
     288,      58.8552,         20
     289,      59.0740,         10
     290,      59.2927,         13
     291,      59.5114,         18
     292,      59.7301,         19
     293,      59.9488,         23
     294,      60.1675,         13
     295,      60.3863,         17
     296,      60.6050,         20
     297,      60.8237,         23
     298,      61.0424,         21
     299,      61.2611,         14
     300,      61.4798,         14
     301,      61.6986,         22
     302,      61.9173,         24
