"   Channel,  Energy(keV),   Counts"
"       1,      -3.9162,          0"
"       2,      -3.6975,          1"
"       3,      -3.4788,          0"
"       4,      -3.2600,          2"
"       5,      -3.0413,          8"
"       6,      -2.8226,         80"
"       7,      -2.6039,        321"
"       8,      -2.3852,        332"
"       9,      -2.1665,        328"
"      10,      -1.9477,        303"
"      11,      -1.7290,        273"
"      12,      -1.5103,        215"
"      13,      -1.2916,        203"
"      14,      -1.0729,        197"
"      15,      -0.8542,        144"
"      16,      -0.6355,        124"
"      17,      -0.4167,        135"
"      18,      -0.1980,        153"
"      19,       0.0207,        124"
"      20,       0.2394,        154"
"      21,       0.4581,        139"
"      22,       0.6768,        126"
"      23,       0.8956,        141"
"      24,       1.1143,        124"
"      25,       1.3330,        147"
"      26,       1.5517,        129"
"      27,       1.7704,        136"
"      28,       1.9891,        126"
"      29,       2.2079,        128"
"      30,       2.4266,        125"
"      31,       2.6453,        151"
"      32,       2.8640,        123"
"      33,       3.0827,        122"
"      34,       3.3014,        124"
"      35,       3.5201,        135"
"      36,       3.7389,        131"
"      37,       3.9576,        137"
"      38,       4.1763,        117"
"      39,       4.3950,        126"
"      40,       4.6137,        149"
"      41,       4.8324,        131"
"      42,       5.0512,        134"
"      43,       5.2699,        139"
"      44,       5.4886,        126"
"      45,       5.7073,        124"
"      46,       5.9260,        133"
"      47,       6.1447,        150"
"      48,       6.3635,        151"
"      49,       6.5822,        123"
"      50,       6.8009,        105"
"      51,       7.0196,        124"
"      52,       7.2383,        117"
"      53,       7.4570,        134"
"      54,       7.6757,        126"
"      55,       7.8945,        136"
"      56,       8.1132,        136"
"      57,       8.3319,        131"
"      58,       8.5506,        130"
"      59,       8.7693,        128"
"      60,       8.9880,         95"
"      61,       9.2068,        122"
"      62,       9.4255,        124"
"      63,       9.6442,        129"
"      64,       9.8629,        132"
"      65,      10.0816,        123"
"      66,      10.3003,        125"
"      67,      10.5191,        118"
"      68,      10.7378,        116"
"      69,      10.9565,        113"
"      70,      11.1752,        110"
"      71,      11.3939,        131"
"      72,      11.6126,        124"
"      73,      11.8313,        103"
"      74,      12.0501,        110"
"      75,      12.2688,        103"
"      76,      12.4875,        106"
"      77,      12.7062,        124"
"      78,      12.9249,        121"
"      79,      13.1436,        137"
"      80,      13.3624,        115"
"      81,      13.5811,        116"
"      82,      13.7998,        124"
"      83,      14.0185,        124"
"      84,      14.2372,        118"
"      85,      14.4559,        117"
"      86,      14.6747,        147"
"      87,      14.8934,        121"
"      88,      15.1121,        117"
"      89,      15.3308,        114"
"      90,      15.5495,        108"
"      91,      15.7682,        109"
"      92,      15.9869,        136"
"      93,      16.2057,        104"
"      94,      16.4244,        126"
"      95,      16.6431,        118"
"      96,      16.8618,        113"
"      97,      17.0805,        106"
"      98,      17.2992,        128"
"      99,      17.5180,        108"
"     100,      17.7367,        114"
"     101,      17.9554,         95"
"     102,      18.1741,        125"
"     103,      18.3928,        113"
"     104,      18.6115,         89"
"     105,      18.8303,        100"
"     106,      19.0490,        110"
"     107,      19.2677,        109"
"     108,      19.4864,        110"
"     109,      19.7051,         99"
"     110,      19.9238,        110"
"     111,      20.1426,        113"
"     112,      20.3613,         91"
"     113,      20.5800,        116"
"     114,      20.7987,        106"
"     115,      21.0174,        107"
"     116,      21.2361,        108"
"     117,      21.4548,        110"
"     118,      21.6736,        107"
"     119,      21.8923,         98"
"     120,      22.1110,        105"
"     121,      22.3297,        128"
"     122,      22.5484,        105"
"     123,      22.7671,         88"
"     124,      22.9859,         94"
"     125,      23.2046,        122"
"     126,      23.4233,        103"
"     127,      23.6420,        104"
"     128,      23.8607,        112"
"     129,      24.0794,        112"
"     130,      24.2982,         86"
"     131,      24.5169,         85"
"     132,      24.7356,        110"
"     133,      24.9543,        107"
"     134,      25.1730,        107"
"     135,      25.3917,         85"
"     136,      25.6104,        107"
"     137,      25.8292,         95"
"     138,      26.0479,        117"
"     139,      26.2666,         84"
"     140,      26.4853,        107"
"     141,      26.7040,         94"
"     142,      26.9227,        103"
"     143,      27.1415,        116"
"     144,      27.3602,        115"
"     145,      27.5789,        102"
"     146,      27.7976,        102"
"     147,      28.0163,         90"
"     148,      28.2350,        100"
"     149,      28.4538,         89"
"     150,      28.6725,        105"
"     151,      28.8912,        100"
"     152,      29.1099,        114"
"     153,      29.3286,        124"
"     154,      29.5473,         90"
"     155,      29.7660,        116"
"     156,      29.9848,         95"
"     157,      30.2035,        110"
"     158,      30.4222,         99"
"     159,      30.6409,        116"
"     160,      30.8596,         91"
"     161,      31.0783,        105"
"     162,      31.2971,        108"
"     163,      31.5158,        100"
"     164,      31.7345,         99"
"     165,      31.9532,        112"
"     166,      32.1719,        113"
"     167,      32.3906,        103"
"     168,      32.6094,        113"
"     169,      32.8281,        108"
"     170,      33.0468,        114"
"     171,      33.2655,        111"
"     172,      33.4842,         97"
"     173,      33.7029,         90"
"     174,      33.9216,         94"
"     175,      34.1404,        103"
"     176,      34.3591,        103"
"     177,      34.5778,        116"
"     178,      34.7965,        113"
"     179,      35.0152,         89"
"     180,      35.2339,        114"
"     181,      35.4527,        112"
"     182,      35.6714,         93"
"     183,      35.8901,        113"
"     184,      36.1088,         93"
"     185,      36.3275,        111"
"     186,      36.5462,        118"
"     187,      36.7650,        107"
"     188,      36.9837,         99"
"     189,      37.2024,        101"
"     190,      37.4211,         99"
"     191,      37.6398,        116"
"     192,      37.8585,        105"
"     193,      38.0772,        113"
"     194,      38.2960,        109"
"     195,      38.5147,        108"
"     196,      38.7334,        112"
"     197,      38.9521,         98"
"     198,      39.1708,        112"
"     199,      39.3895,         94"
"     200,      39.6083,        100"
"     201,      39.8270,         93"
"     202,      40.0457,         98"
"     203,      40.2644,         85"
"     204,      40.4831,        108"
"     205,      40.7018,        108"
"     206,      40.9206,         96"
"     207,      41.1393,        116"
"     208,      41.3580,         98"
"     209,      41.5767,         98"
"     210,      41.7954,        105"
"     211,      42.0141,        126"
"     212,      42.2328,         94"
"     213,      42.4516,        110"
"     214,      42.6703,        111"
"     215,      42.8890,         98"
"     216,      43.1077,        124"
"     217,      43.3264,        116"
"     218,      43.5451,        115"
"     219,      43.7639,        100"
"     220,      43.9826,        108"
"     221,      44.2013,        127"
"     222,      44.4200,        110"
"     223,      44.6387,        100"
"     224,      44.8574,         97"
"     225,      45.0762,        117"
"     226,      45.2949,        111"
"     227,      45.5136,        110"
"     228,      45.7323,        127"
"     229,      45.9510,        100"
"     230,      46.1697,        113"
"     231,      46.3884,        111"
"     232,      46.6072,         93"
"     233,      46.8259,         88"
"     234,      47.0446,         91"
"     235,      47.2633,        101"
"     236,      47.4820,        103"
"     237,      47.7007,        112"
"     238,      47.9195,         83"
"     239,      48.1382,        124"
"     240,      48.3569,        116"
"     241,      48.5756,        128"
"     242,      48.7943,        123"
"     243,      49.0130,        116"
"     244,      49.2318,        106"
"     245,      49.4505,         98"
"     246,      49.6692,        114"
"     247,      49.8879,        114"
"     248,      50.1066,        128"
"     249,      50.3253,        114"
"     250,      50.5440,        113"
"     251,      50.7628,        101"
"     252,      50.9815,        107"
"     253,      51.2002,        122"
"     254,      51.4189,        115"
"     255,      51.6376,        104"
"     256,      51.8563,        131"
"     257,      52.0751,        128"
"     258,      52.2938,        114"
"     259,      52.5125,        106"
