Channel,Energy,Counts
       1,      -3.9162,          0
       2,      -3.6975,          0
       3,      -3.4788,          1
       4,      -3.2600,          2
       5,      -3.0413,          0
       6,      -2.8226,          3
       7,      -2.6039,         17
       8,      -2.3852,         18
       9,      -2.1665,         40
      10,      -1.9477,         27
      11,      -1.7290,         22
      12,      -1.5103,         18
      13,      -1.2916,         16
      14,      -1.0729,         11
      15,      -0.8542,         16
      16,      -0.6355,         10
      17,      -0.4167,         11
      18,      -0.1980,         12
      19,       0.0207,         15
      20,       0.2394,          7
      21,       0.4581,         10
      22,       0.6768,         12
      23,       0.8956,         10
      24,       1.1143,         13
      25,       1.3330,         10
      26,       1.5517,         12
      27,       1.7704,         12
      28,       1.9891,          9
      29,       2.2079,         15
      30,       2.4266,         16
      31,       2.6453,         13
      32,       2.8640,          9
      33,       3.0827,          8
      34,       3.3014,          9
      35,       3.5201,         13
      36,       3.7389,         15
      37,       3.9576,         10
      38,       4.1763,         15
      39,       4.3950,         15
      40,       4.6137,         11
      41,       4.8324,         16
      42,       5.0512,          9
      43,       5.2699,          7
      44,       5.4886,         10
      45,       5.7073,         15
      46,       5.9260,         14
      47,       6.1447,          7
      48,       6.3635,          8
      49,       6.5822,         11
      50,       6.8009,         12
      51,       7.0196,         12
      52,       7.2383,         13
      53,       7.4570,         15
      54,       7.6757,          8
      55,       7.8945,         11
      56,       8.1132,          9
      57,       8.3319,         14
      58,       8.5506,          9
      59,       8.7693,         11
      60,       8.9880,         11
      61,       9.2068,         11
      62,       9.4255,         17
      63,       9.6442,         10
      64,       9.8629,          6
      65,      10.0816,         12
      66,      10.3003,         16
      67,      10.5191,          8
      68,      10.7378,          7
      69,      10.9565,          4
      70,      11.1752,         10
      71,      11.3939,         13
      72,      11.6126,         13
      73,      11.8313,         14
      74,      12.0501,         15
      75,      12.2688,         10
      76,      12.4875,          5
      77,      12.7062,         11
      78,      12.9249,         12
      79,      13.1436,         10
      80,      13.3624,          8
      81,      13.5811,         13
      82,      13.7998,          5
      83,      14.0185,          9
      84,      14.2372,          9
      85,      14.4559,         12
      86,      14.6747,          6
      87,      14.8934,         14
      88,      15.1121,          8
      89,      15.3308,          9
      90,      15.5495,         13
      91,      15.7682,         14
      92,      15.9869,         17
      93,      16.2057,         12
      94,      16.4244,         13
      95,      16.6431,          7
      96,      16.8618,          4
      97,      17.0805,         15
      98,      17.2992,         10
      99,      17.5180,         12
     100,      17.7367,         11
     101,      17.9554,          6
     102,      18.1741,          8
     103,      18.3928,          5
     104,      18.6115,         13
     105,      18.8303,         11
     106,      19.0490,         13
     107,      19.2677,         14
     108,      19.4864,         16
     109,      19.7051,         14
     110,      19.9238,         12
     111,      20.1426,          7
     112,      20.3613,          9
     113,      20.5800,          3
     114,      20.7987,         12
     115,      21.0174,         13
     116,      21.2361,          9
     117,      21.4548,         12
     118,      21.6736,         11
     119,      21.8923,          9
     120,      22.1110,         10
     121,      22.3297,          4
     122,      22.5484,          7
     123,      22.7671,         10
     124,      22.9859,         13
     125,      23.2046,          6
     126,      23.4233,         12
     127,      23.6420,         12
     128,      23.8607,         16
     129,      24.0794,         13
     130,      24.2982,          7
     131,      24.5169,         12
     132,      24.7356,         13
     133,      24.9543,         13
     134,      25.1730,         10
     135,      25.3917,          9
     136,      25.6104,         15
     137,      25.8292,          6
     138,      26.0479,          7
     139,      26.2666,         13
     140,      26.4853,          9
     141,      26.7040,         13
     142,      26.9227,         11
     143,      27.1415,         10
     144,      27.3602,         11
     145,      27.5789,         10
     146,      27.7976,          7
     147,      28.0163,         10
     148,      28.2350,         10
     149,      28.4538,          6
     150,      28.6725,         14
     151,      28.8912,          9
     152,      29.1099,          5
     153,      29.3286,         13
     154,      29.5473,          8
     155,      29.7660,          9
     156,      29.9848,         20
     157,      30.2035,          3
     158,      30.4222,          8
     159,      30.6409,         12
     160,      30.8596,         16
     161,      31.0783,         12
     162,      31.2971,          6
     163,      31.5158,         11
     164,      31.7345,         11
     165,      31.9532,         11
     166,      32.1719,         10
     167,      32.3906,          8
     168,      32.6094,         11
     169,      32.8281,         13
     170,      33.0468,          9
     171,      33.2655,         16
     172,      33.4842,         13
     173,      33.7029,         15
     174,      33.9216,         11
     175,      34.1404,         10
     176,      34.3591,         10
     177,      34.5778,         13
     178,      34.7965,         11
     179,      35.0152,          7
     180,      35.2339,          8
     181,      35.4527,          6
     182,      35.6714,         14
     183,      35.8901,         14
     184,      36.1088,         13
     185,      36.3275,         18
     186,      36.5462,         10
     187,      36.7650,         19
     188,      36.9837,         10
     189,      37.2024,         10
     190,      37.4211,         11
     191,      37.6398,          9
     192,      37.8585,          4
     193,      38.0772,          6
     194,      38.2960,          6
     195,      38.5147,         10
     196,      38.7334,         11
     197,      38.9521,         15
     198,      39.1708,         16
     199,      39.3895,         13
     200,      39.6083,         12
     201,      39.8270,         14
     202,      40.0457,         17
     203,      40.2644,          4
     204,      40.4831,          7
     205,      40.7018,         15
     206,      40.9206,         12
     207,      41.1393,          6
     208,      41.3580,         13
     209,      41.5767,         11
     210,      41.7954,         12
     211,      42.0141,         14
     212,      42.2328,         10
     213,      42.4516,         11
     214,      42.6703,         14
     215,      42.8890,         13
     216,      43.1077,          9
     217,      43.3264,         13
