Channel,Energy,Counts
         1,      -3.9162,          0  
         2,      -3.6975,          1  
         3,      -3.4788,          0  
         4,      -3.2600,          4  
         5,      -3.0413,         39  
         6,      -2.8226,        321  
         7,      -2.6039,        559  
         8,      -2.3852,        778  
         9,      -2.1665,        765  
        10,      -1.9477,        783  
        11,      -1.7290,        649  
        12,      -1.5103,        562  
        13,      -1.2916,        491  
        14,      -1.0729,        465  
        15,      -0.8542,        398  
        16,      -0.6355,        373  
        17,      -0.4167,        400  
        18,      -0.1980,        360  
        19,       0.0207,        358  
        20,       0.2394,        359  
        21,       0.4581,        400  
        22,       0.6768,        374  
        23,       0.8956,        405  
        24,       1.1143,        426  
        25,       1.3330,        426  
        26,       1.5517,        466  
        27,       1.7704,        437  
        28,       1.9891,        458  
        29,       2.2079,        448  
        30,       2.4266,        446  
        31,       2.6453,        442  
        32,       2.8640,        470  
        33,       3.0827,        458  
        34,       3.3014,        493  
        35,       3.5201,        478  
        36,       3.7389,        429  
        37,       3.9576,        517  
        38,       4.1763,        491  
        39,       4.3950,        453  
        40,       4.6137,        517  
        41,       4.8324,        475  
        42,       5.0512,        455  
        43,       5.2699,        483  
        44,       5.4886,        502  
        45,       5.7073,        479  
        46,       5.9260,        483  
        47,       6.1447,        480  
        48,       6.3635,        483  
        49,       6.5822,        477  
        50,       6.8009,        477  
        51,       7.0196,        485  
        52,       7.2383,        493  
        53,       7.4570,        448  
        54,       7.6757,        448  
        55,       7.8945,        460  
        56,       8.1132,        407  
        57,       8.3319,        444  
        58,       8.5506,        492  
        59,       8.7693,        442  
        60,       8.9880,        457  
        61,       9.2068,        480  
        62,       9.4255,        434  
        63,       9.6442,        445  
        64,       9.8629,        466  
        65,      10.0816,        461  
        66,      10.3003,        466  
        67,      10.5191,        466  
        68,      10.7378,        482  
        69,      10.9565,        455  
        70,      11.1752,        436  
        71,      11.3939,        478  
        72,      11.6126,        498  
        73,      11.8313,        436  
        74,      12.0501,        442  
        75,      12.2688,        460  
        76,      12.4875,        448  
        77,      12.7062,        493  
        78,      12.9249,        495  
        79,      13.1436,        469  
        80,      13.3624,        456  
        81,      13.5811,        478  
        82,      13.7998,        460  
        83,      14.0185,        483  
        84,      14.2372,        467  
        85,      14.4559,        460  
        86,      14.6747,        463  
        87,      14.8934,        460  
        88,      15.1121,        441  
        89,      15.3308,        491  
        90,      15.5495,        450  
        91,      15.7682,        417  
        92,      15.9869,        433  
        93,      16.2057,        509  
        94,      16.4244,        492  
        95,      16.6431,        459  
        96,      16.8618,        484  
        97,      17.0805,        455  
        98,      17.2992,        423  
        99,      17.5180,        451  
       100,      17.7367,        446  
       101,      17.9554,        418  
       102,      18.1741,        480  
       103,      18.3928,        444  
       104,      18.6115,        449  
       105,      18.8303,        431  
       106,      19.0490,        439  
       107,      19.2677,        492  
       108,      19.4864,        473  
       109,      19.7051,        462  
       110,      19.9238,        439  
       111,      20.1426,        504  
       112,      20.3613,        432  
       113,      20.5800,        444  
       114,      20.7987,        433  
       115,      21.0174,        445  
       116,      21.2361,        434  
       117,      21.4548,        441  
       118,      21.6736,        455  
       119,      21.8923,        445  
       120,      22.1110,        444  
       121,      22.3297,        430  
       122,      22.5484,        406  
       123,      22.7671,        380  
       124,      22.9859,        413  
       125,      23.2046,        452  
       126,      23.4233,        457  
       127,      23.6420,        427  
       128,      23.8607,        482  
       129,      24.0794,        449  
       130,      24.2982,        408  
       131,      24.5169,        432  
       132,      24.7356,        429  
       133,      24.9543,        435  
       134,      25.1730,        423  
       135,      25.3917,        464  
       136,      25.6104,        455  
       137,      25.8292,        437  
       138,      26.0479,        427  
       139,      26.2666,        412  
       140,      26.4853,        465  
       141,      26.7040,        433  
       142,      26.9227,        400  
       143,      27.1415,        425  
       144,      27.3602,        448  
       145,      27.5789,        453  
       146,      27.7976,        446  
       147,      28.0163,        421  
       148,      28.2350,        462  
       149,      28.4538,        428  
       150,      28.6725,        451  
       151,      28.8912,        446  
       152,      29.1099,        410  
       153,      29.3286,        429  
       154,      29.5473,        405  
       155,      29.7660,        466  
       156,      29.9848,        439  
       157,      30.2035,        406  
       158,      30.4222,        465  
       159,      30.6409,        445  
       160,      30.8596,        440  
       161,      31.0783,        467  
       162,      31.2971,        451  
       163,      31.5158,        418  
       164,      31.7345,        419  
       165,      31.9532,        471  
       166,      32.1719,        452  
       167,      32.3906,        412  
       168,      32.6094,        431  
       169,      32.8281,        424  
       170,      33.0468,        433  
       171,      33.2655,        397  
       172,      33.4842,        419  
       173,      33.7029,        436  
       174,      33.9216,        450  
       175,      34.1404,        432  
       176,      34.3591,        441  
       177,      34.5778,        453  
       178,      34.7965,        448  
       179,      35.0152,        474  
       180,      35.2339,        429  
       181,      35.4527,        466  
       182,      35.6714,        429  
       183,      35.8901,        448  
       184,      36.1088,        402  
       185,      36.3275,        430  
       186,      36.5462,        442  
       187,      36.7650,        401  
       188,      36.9837,        448  
       189,      37.2024,        421  
       190,      37.4211,        442  
       191,      37.6398,        474  
       192,      37.8585,        399  
       193,      38.0772,        417  
       194,      38.2960,        477  
       195,      38.5147,        410  
       196,      38.7334,        428  
       197,      38.9521,        441  
       198,      39.1708,        458  
       199,      39.3895,        447  
       200,      39.6083,        477  
       201,      39.8270,        448  
       202,      40.0457,        453  
       203,      40.2644,        446  
       204,      40.4831,        440  
       205,      40.7018,        452  
       206,      40.9206,        447  
       207,      41.1393,        426  
       208,      41.3580,        439  
       209,      41.5767,        473  
       210,      41.7954,        424  
       211,      42.0141,        477  
       212,      42.2328,        470  
       213,      42.4516,        420  
       214,      42.6703,        438  
       215,      42.8890,        428  
       216,      43.1077,        438  
       217,      43.3264,        440  
       218,      43.5451,        459  
       219,      43.7639,        493  
       220,      43.9826,        428  
       221,      44.2013,        407  
       222,      44.4200,        435  
       223,      44.6387,        452  
       224,      44.8574,        456  
       225,      45.0762,        458  
       226,      45.2949,        433  
       227,      45.5136,        457  
       228,      45.7323,        463  
       229,      45.9510,        441  
       230,      46.1697,        460  
       231,      46.3884,        450  
       232,      46.6072,        426  
       233,      46.8259,        443  
       234,      47.0446,        449  
       235,      47.2633,        476  
       236,      47.4820,        442  
       237,      47.7007,        480  
       238,      47.9195,        474  
       239,      48.1382,        456  
       240,      48.3569,        433  
       241,      48.5756,        454  
       242,      48.7943,        445  
       243,      49.0130,        475  
       244,      49.2318,        433  
       245,      49.4505,        456  
       246,      49.6692,        473  
       247,      49.8879,        460  
       248,      50.1066,        470  
       249,      50.3253,        484  
       250,      50.5440,        458  
       251,      50.7628,        445  
       252,      50.9815,        486  
       253,      51.2002,        458  
       254,      51.4189,        480  
       255,      51.6376,        477  
       256,      51.8563,        473  
       257,      52.0751,        454  
       258,      52.2938,        459  
       259,      52.5125,        472  
       260,      52.7312,        489  
       261,      52.9499,        467  
       262,      53.1686,        472  
       263,      53.3874,        501  
       264,      53.6061,        439  
       265,      53.8248,        493  
       266,      54.0435,        461  
       267,      54.2622,        492  
       268,      54.4809,        510  
       269,      54.6996,        493  
       270,      54.9184,        471  
       271,      55.1371,        460  
       272,      55.3558,        497  
       273,      55.5745,        467  
       274,      55.7932,        467  
       275,      56.0119,        542  
       276,      56.2307,        523  
       277,      56.4494,        482  
       278,      56.6681,        458  
       279,      56.8868,        487  
