Channel,Energy,Counts
        1,      -3.9162,          0 
        2,      -3.6975,          1 
        3,      -3.4788,          1 
        4,      -3.2600,          1 
        5,      -3.0413,          1 
        6,      -2.8226,          1 
        7,      -2.6039,         39 
        8,      -2.3852,         80 
        9,      -2.1665,        111 
       10,      -1.9477,        112 
       11,      -1.7290,         89 
       12,      -1.5103,         79 
       13,      -1.2916,         72 
       14,      -1.0729,         48 
       15,      -0.8542,         44 
       16,      -0.6355,         45 
       17,      -0.4167,         40 
       18,      -0.1980,         39 
       19,       0.0207,         36 
       20,       0.2394,         43 
       21,       0.4581,         44 
       22,       0.6768,         52 
       23,       0.8956,         43 
       24,       1.1143,         44 
       25,       1.3330,         40 
       26,       1.5517,         44 
       27,       1.7704,         52 
       28,       1.9891,         49 
       29,       2.2079,         53 
       30,       2.4266,         57 
       31,       2.6453,         61 
       32,       2.8640,         63 
       33,       3.0827,         59 
       34,       3.3014,         68 
       35,       3.5201,         54 
       36,       3.7389,         56 
       37,       3.9576,         50 
       38,       4.1763,         61 
       39,       4.3950,         52 
       40,       4.6137,         69 
       41,       4.8324,         78 
       42,       5.0512,         55 
       43,       5.2699,         58 
       44,       5.4886,         64 
       45,       5.7073,         56 
       46,       5.9260,         54 
       47,       6.1447,         42 
       48,       6.3635,         62 
       49,       6.5822,         53 
       50,       6.8009,         54 
       51,       7.0196,         48 
       52,       7.2383,         65 
       53,       7.4570,         39 
       54,       7.6757,         56 
       55,       7.8945,         61 
       56,       8.1132,         69 
       57,       8.3319,         50 
       58,       8.5506,         52 
       59,       8.7693,         51 
       60,       8.9880,         63 
       61,       9.2068,         51 
       62,       9.4255,         63 
       63,       9.6442,         66 
       64,       9.8629,         62 
       65,      10.0816,         58 
       66,      10.3003,         49 
       67,      10.5191,         50 
       68,      10.7378,         57 
       69,      10.9565,         53 
       70,      11.1752,         61 
       71,      11.3939,         60 
       72,      11.6126,         57 
       73,      11.8313,         47 
       74,      12.0501,         41 
       75,      12.2688,         60 
       76,      12.4875,         69 
       77,      12.7062,         62 
       78,      12.9249,         57 
       79,      13.1436,         61 
       80,      13.3624,         75 
       81,      13.5811,         67 
       82,      13.7998,        105 
       83,      14.0185,         86 
       84,      14.2372,        105 
       85,      14.4559,         89 
       86,      14.6747,         85 
       87,      14.8934,         74 
       88,      15.1121,         70 
       89,      15.3308,         67 
       90,      15.5495,         56 
       91,      15.7682,         58 
       92,      15.9869,         66 
       93,      16.2057,         48 
       94,      16.4244,         54 
       95,      16.6431,         46 
       96,      16.8618,         75 
       97,      17.0805,         68 
       98,      17.2992,         58 
       99,      17.5180,         45 
      100,      17.7367,         67 
      101,      17.9554,         61 
      102,      18.1741,         65 
      103,      18.3928,         63 
      104,      18.6115,         81 
      105,      18.8303,         66 
      106,      19.0490,         81 
      107,      19.2677,         91 
      108,      19.4864,         71 
      109,      19.7051,         67 
      110,      19.9238,         81 
      111,      20.1426,         89 
      112,      20.3613,         57 
      113,      20.5800,         71 
      114,      20.7987,         95 
      115,      21.0174,        102 
      116,      21.2361,        130 
      117,      21.4548,        122 
      118,      21.6736,        120 
      119,      21.8923,        143 
      120,      22.1110,        122 
      121,      22.3297,        146 
      122,      22.5484,        175 
      123,      22.7671,        174 
      124,      22.9859,        189 
      125,      23.2046,        257 
      126,      23.4233,        332 
      127,      23.6420,        560 
      128,      23.8607,        771 
      129,      24.0794,       1036 
      130,      24.2982,       1134 
      131,      24.5169,       1134 
      132,      24.7356,        916 
      133,      24.9543,        770 
      134,      25.1730,        565 
      135,      25.3917,        342 
      136,      25.6104,        191 
      137,      25.8292,        106 
      138,      26.0479,         66 
      139,      26.2666,         60 
      140,      26.4853,         78 
      141,      26.7040,         67 
      142,      26.9227,         68 
      143,      27.1415,         79 
      144,      27.3602,         66 
      145,      27.5789,         82 
      146,      27.7976,        124 
      147,      28.0163,        168 
      148,      28.2350,        178 
      149,      28.4538,        243 
      150,      28.6725,        269 
      151,      28.8912,        291 
      152,      29.1099,        228 
      153,      29.3286,        224 
      154,      29.5473,        176 
      155,      29.7660,        137 
      156,      29.9848,        107 
      157,      30.2035,         84 
      158,      30.4222,         90 
      159,      30.6409,         64 
      160,      30.8596,         61 
      161,      31.0783,         50 
      162,      31.2971,         48 
      163,      31.5158,         49 
      164,      31.7345,         47 
      165,      31.9532,         43 
      166,      32.1719,         51 
      167,      32.3906,         49 
      168,      32.6094,         37 
      169,      32.8281,         52 
      170,      33.0468,         63 
      171,      33.2655,         52 
      172,      33.4842,         48 
      173,      33.7029,         43 
      174,      33.9216,         51 
      175,      34.1404,         43 
      176,      34.3591,         48 
      177,      34.5778,         55 
      178,      34.7965,         53 
      179,      35.0152,         50 
      180,      35.2339,         42 
      181,      35.4527,         50 
      182,      35.6714,         55 
      183,      35.8901,         54 
      184,      36.1088,         47 
      185,      36.3275,         55 
      186,      36.5462,         55 
      187,      36.7650,         53 
      188,      36.9837,         52 
      189,      37.2024,         53 
      190,      37.4211,         55 
      191,      37.6398,         55 
      192,      37.8585,         44 
      193,      38.0772,         41 
      194,      38.2960,         44 
      195,      38.5147,         58 
      196,      38.7334,         41 
      197,      38.9521,         55 
      198,      39.1708,         62 
      199,      39.3895,         46 
      200,      39.6083,         43 
      201,      39.8270,         49 
      202,      40.0457,         57 
      203,      40.2644,         46 
      204,      40.4831,         56 
      205,      40.7018,         43 
      206,      40.9206,         56 
      207,      41.1393,         37 
      208,      41.3580,         47 
      209,      41.5767,         59 
      210,      41.7954,         45 
      211,      42.0141,         45 
      212,      42.2328,         35 
      213,      42.4516,         47 
      214,      42.6703,         52 
      215,      42.8890,         39 
      216,      43.1077,         39 
      217,      43.3264,         46 
      218,      43.5451,         52 
      219,      43.7639,         38 
      220,      43.9826,         41 
      221,      44.2013,         62 
      222,      44.4200,         44 
      223,      44.6387,         50 
      224,      44.8574,         48 
      225,      45.0762,         60 
      226,      45.2949,         53 
      227,      45.5136,         49 
      228,      45.7323,         51 
      229,      45.9510,         49 
      230,      46.1697,         46 
      231,      46.3884,         46 
      232,      46.6072,         40 
      233,      46.8259,         64 
      234,      47.0446,         54 
      235,      47.2633,         58 
      236,      47.4820,         51 
      237,      47.7007,         56 
      238,      47.9195,         51 
      239,      48.1382,         45 
      240,      48.3569,         38 
      241,      48.5756,         38 
      242,      48.7943,         55 
      243,      49.0130,         65 
      244,      49.2318,         41 
      245,      49.4505,         49 
      246,      49.6692,         42 
      247,      49.8879,         51 
      248,      50.1066,         61 
      249,      50.3253,         45 
      250,      50.5440,         68 
      251,      50.7628,         65 
      252,      50.9815,         42 
      253,      51.2002,         43 
      254,      51.4189,         51 
      255,      51.6376,         62 
      256,      51.8563,         49 
      257,      52.0751,         50 
      258,      52.2938,         60 
      259,      52.5125,         51 
      260,      52.7312,         49 
      261,      52.9499,         60 
      262,      53.1686,         47 
      263,      53.3874,         57 
      264,      53.6061,         49 
      265,      53.8248,         59 
      266,      54.0435,         65 
      267,      54.2622,         46 
      268,      54.4809,         57 
      269,      54.6996,         54 
      270,      54.9184,         51 
      271,      55.1371,         64 
      272,      55.3558,         65 
      273,      55.5745,         57 
      274,      55.7932,         67 
      275,      56.0119,         66 
      276,      56.2307,         57 
      277,      56.4494,         57 
      278,      56.6681,         52 
      279,      56.8868,         55 
